Command being timed,User time (seconds),System time (seconds),Percent of CPU this job got,Elapsed (wall clock) time (h:mm:ss or m:ss),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes),Exit status
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3560.0,0.0,0.0,680.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3264.0,0.0,0.0,291.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3452.0,0.0,0.0,1755.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.11,0.0,99%,0:00.11,0.0,0.0,0.0,0.0,3104.0,0.0,0.0,1739.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3332.0,0.0,0.0,292.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3376.0,0.0,0.0,1389.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.11,0.0,0.0,0.0,0.0,3408.0,0.0,0.0,340.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3388.0,0.0,0.0,339.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,99%,0:00.10,0.0,0.0,0.0,0.0,3372.0,0.0,0.0,290.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3428.0,0.0,0.0,340.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3476.0,0.0,0.0,1007.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3444.0,0.0,0.0,292.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3360.0,0.0,0.0,291.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3292.0,0.0,0.0,289.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3472.0,0.0,0.0,1138.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3348.0,0.0,0.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,99%,0:00.13,0.0,0.0,0.0,0.0,3576.0,0.0,0.0,1002.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,98%,0:00.10,0.0,0.0,0.0,0.0,3076.0,0.0,0.0,1740.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.1,0.0,100%,0:00.10,0.0,0.0,0.0,0.0,3424.0,0.0,0.0,372.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.13,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3416.0,0.0,0.0,1055.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
"""./rust_mm1""",0.12,0.0,100%,0:00.13,0.0,0.0,0.0,0.0,3376.0,0.0,0.0,1756.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,0.0
